name,address,categories,rating,user_ratings_total,place_id,lat,lng,sources
Carreta Sushi,"Alejandro de Rodas, Av. Puerta de Hierro 1001, 64349 Monterrey, N.L., 墨西哥",餐饮,4.5,260,ChIJHVPLgYiWYoYR--328sINAjU,25.7489739,-100.4191452,jiao zi｜蒙特雷 | jiaozi｜蒙特雷
Centro de Acupuntura Ho Chi Minh S.C.,"Av. Simón Bolívar 2070, Mitras Centro, 64460 Monterrey, N.L., 墨西哥",医疗/中医,4.3,21,ChIJ-QxRddyVYoYRTrFs0xtsVEg,25.702193,-100.3429402,中医｜蒙特雷 | 针灸｜蒙特雷
Centro de Envío FedEx,"Av. Cristóbal Colón 1101, Treviño, 64580 Monterrey, N.L., 墨西哥",物流/清关,3.8,262,ChIJTTbuXniVYoYRsnN0pg7ly0k,25.6848927,-100.3033036,快递｜蒙特雷
Centro de Envío FedEx,"Av. Cuauhtémoc 961, Centro, 64000 Monterrey, N.L., 墨西哥",物流/清关,3.7,364,ChIJjUpaTyS-YoYR8OQ3Wki_iXI,25.6670201,-100.3194797,快递｜蒙特雷
Centro de Envío FedEx,"Av. Simón Bolívar 2133, Mitras Centro, 64460 Monterrey, N.L., 墨西哥",物流/清关,4,412,ChIJ39kbltuVYoYR-iqXxq0uRik,25.7037001,-100.342231,快递｜蒙特雷
Centro de Salud Colinas del Aeropuerto,"Rio Sta. Catarina 901, 66650 Colinas del Aeropuerto, N.L., 墨西哥",医疗/中医,3.3,17,ChIJ7TePyQfvYoYRhX4nGV0K4AQ,25.8269133,-100.1156127,诊所｜蒙特雷
Centro Medico Santa Catarina,"Privadas de Sta. Catarina 1236, Privadas de Santa Catarina 2do Sector, 66367 Cdad. Santa Catarina, N.L., 墨西哥",医疗/中医,2.3,6,ChIJR_BrRu-YYoYRizk5WaDO7xo,25.6954385,-100.5003327,诊所｜蒙特雷
Centro Médico Perimetral Norte,"Av. Perimetral Nte. 101, Adolfo López Mateos, 66360 Cdad. Santa Catarina, N.L., 墨西哥",医疗/中医,4.6,11,ChIJ2-HM5_KZYoYRf_lF_X10i6M,25.6959172,-100.4528974,诊所｜蒙特雷
Centro Terapéutico Diana Gallegos,"Valle Primavera 2994, Jardines de Altavista, Distrito Tec, 64840 Monterrey, N.L., 墨西哥",按摩/养生,4.9,143,ChIJZcHt8nu_YoYR89iBeOfvcUw,25.6479798,-100.2841672,按摩｜蒙特雷
CerFlo Logistics,"Av. Monterrey Ote. 401, Linda Vista, 67123 Guadalupe, N.L., 墨西哥",物流/清关,5,1,ChIJtQVVw6_qYoYRUr8sVW3EZeM,25.6902667,-100.2504285,物流｜蒙特雷
Chao's Express,"Blvd. Acapulco, Hacienda de San Miguel, 67113 Guadalupe, N.L., 墨西哥",餐饮,4.4,71,ChIJcYMu60nqYoYR-zRlsFfGUXI,25.7231931,-100.1940142,中餐馆｜蒙特雷 | 中餐｜蒙特雷
Chatime,"Av Lázaro Cárdenas 1000, Valle del Mirador, Local 29, Chatime, 64750 Monterrey, N.L., 墨西哥",甜品/茶饮,3.6,8,ChIJC911FFS_YoYRWJafXCSRLkM,25.6383251,-100.3138271,奶茶｜蒙特雷 | 茶饮｜蒙特雷
Chengguang,"Av. Miguel Alemán 5054-7, 67130 Guadalupe, N.L., 墨西哥",手机/电子/IT,,,ChIJnW1GAfbrYoYRQisgdKC71v0,25.6905216,-100.2479096,电子｜蒙特雷
